,missing_value_num,missing_value_percentage,missing_value_percentage_10(>=2012),missing_value_percentage_20(>=2002),missing_value_percentage_30(>=1992),missing_value_percentage_40(>=1982),missing_value_percentage_50(>=1972),missing_value_percentage_60(>=1962),missing_value_percentage_60(>=1952),variable_name
blackInfluence_Politics,49995,0.7328066369606003,0.1190424610051993,0.22459483602024757,0.4406738056518671,0.5706985069002873,0.6554585317910335,0.6968452212669006,0.7301885675379651,"In American politics, do blacks have too much, about the right amount of, or too little influence"
powerDifference,49710,0.7286292213883677,0.11086438474870017,0.21247181930324557,0.43192906016998556,0.5639866233338043,0.6500718227867242,0.6921055695065773,0.7259702199461235,CSES: Make big difference who is in power (5pt) scale placement for R
votingMakedifference,49664,0.7279549718574109,0.10837305025996534,0.2105151218682207,0.4305176275658924,0.5629033017757054,0.6492023890526952,0.6913405730821041,0.7252893638435807,CSES: Who votes for makes a big diffence - (5pt) scale placement for R
bisexalFamilyorFriends,48900,0.7167565666041276,0.07647313691507798,0.17801692968650304,0.40707557301095393,0.5449107437238001,0.6347622287744764,0.6786349802930269,0.7139812320535213,Does R know anyone among family and friends who is bisexual or gay
therm_Christians,48789,0.7151295731707317,0.05946707105719237,0.17329533370198646,0.4036697247706422,0.5422966417031699,0.632664247372798,0.6767890106600589,0.7123382966756461,Thermometer for: Christians
satisfactionDemocracy,48722,0.7141475140712945,0.11243500866551126,0.17044536135097196,0.40161394249946303,0.54071876030333,0.6313978982384516,0.6756747767374566,0.7113466149610728,CSES: How satisfied is R with the way democracy works in the U.S. (4cat: very satisfied-not at all satisfied)
follow_political_info,48706,0.7139129924953096,0.0002166377816291161,0.1697647709387894,0.40112300941977846,0.5403419528048609,0.6310954865048763,0.6754086910245963,0.7111097954471448,How often does R follow information about politics and government
howOftenTrust,48679,0.7135172373358349,0.0028704506065857886,0.1686162746182313,0.40029455984781076,0.539706090151194,0.6305851667044682,0.6749596713841446,0.7107101625173914,How often can R trust people
therm_Mislims,47998,0.7035354127579737,0.06547876949740035,0.13964864519971074,0.379399220643736,0.5236682209975978,0.617713767294171,0.66363439823053,0.7006305319558331,Thermometer for: Muslims
sex_orientation,47942,0.7027145872420263,0.024696707105719237,0.13726657875707177,0.37768095486484,0.5223493947529556,0.6166553262266576,0.6627030982355191,0.6998016636570853,"Does R consider self to be heterosexual or straight, homosexual or [gay/lesbian], or bisexual"
satisfactionLife,47932,0.7025680112570356,0.014677209705372616,0.13684120974945765,0.37737412169003715,0.5221138900664123,0.616466318893173,0.6625367946649815,0.6996536514608803,How satisfied is R with R's life
living_withFamily,47503,0.6962799015009381,0.0035203639514731367,0.11859287932281254,0.36421097849099443,0.5120107390137064,0.6083579042866863,0.6554023714889159,0.6933039282436873,Is R living with family members
meetingCommuntySchool,46908,0.6875586303939962,0.10111568457538994,0.15938576715300523,0.3459544045902243,0.4979982101643823,0.5971119679443563,0.6455073090419251,0.6844972025694918,Did R attend a meeting about an issue in community or schools during the past 12 months
workedWithcommunity,45580,0.668093339587242,0.10171143847487002,0.10285422604109065,0.30520695897640454,0.46672318779143707,0.5720117940576095,0.623422194874524,0.664841182913472,Has R worked with others to deal with issue in community during the past 12 months
VCF9022,45286,0.6637840056285178,0.29636048526863085,0.34582500319026754,0.4062471234389862,0.48302011210023077,0.566454978453164,0.6185328699007168,0.660489624345046,Voter Strength of Preference- Presidential Cand
authoritarian2,45006,0.6596798780487805,0.10739818024263431,0.16504317495427284,0.2875947347427204,0.4532052187838538,0.5611627731155969,0.6138763699256623,0.656345282851307,Which is more important for a child to have: obedience or self-reliance
authoritarian4,44971,0.6591668621013134,0.10631499133448874,0.1637670679314305,0.2865208186309104,0.4523809523809524,0.560501247448401,0.6132943074287805,0.6558272401645896,Which is more important for a child to have: independence or respect for elders
authoritarian1,44963,0.6590496013133208,0.10609835355285963,0.16346930962610065,0.2862753520910681,0.45219254863171776,0.5603500415816134,0.6131612645723503,0.6557088304076256,Which is more important for a child to have: curiosity or good manners
authoritarian3,44951,0.6588737101313321,0.10555675909878683,0.16300140371772512,0.28590715228130464,0.45190994300786586,0.560123232781432,0.6129617002877051,0.6555312157721797,Which is more important for a child to be: considerate or well-behaved
have_healthInsurance,42284,0.619781894934334,0.006986568457538995,0.0699306648517589,0.20407474456138197,0.38910084310677784,0.5097149769411053,0.5686085380253114,0.6160563630443149,Does R have any (1994: some) kind of health insurance
volunteer,41799,0.612672959662289,0.10154896013864818,0.10242885703347654,0.18919333558344328,0.3776788658094296,0.5005481212671051,0.560542814854235,0.608877771528374,Was R able to devote any time to volunteer work in the last 12 months
bornAgain,41513,0.6084808864915572,0.28942807625649913,0.36403079671615124,0.359547114233991,0.395106212613631,0.4951425115294473,0.5557865327368579,0.6046446227169119,Would R call self a born-again Christian /consider self a born-again Christian / had the deep religious experience described as being born again
therm_ChrFundament,40141,0.5883706613508443,0.1332863951473137,0.1443702411842273,0.18560338743824983,0.33863218878055673,0.4692107053753686,0.532969682859091,0.5843373493975904,Thermometer - Christian Fundamentalists
VCF0886,39672,0.5814962476547842,0.003791161178509532,0.03981453911268025,0.12392991930287503,0.32758701898167775,0.46034626143494367,0.5251700454008748,0.5773955773955773,Federal Spending- Poor/Poor People
church_attendance,38132,0.5589235459662288,0.23597270363951472,0.18656684673954654,0.136908962597036,0.29131929725401534,0.43123913207832465,0.4995592955380752,0.5546016991800125,Respondent - Church Attendance 1990-
Voted_party,36601,0.5364827626641651,0.2951689774696707,0.3464630567016887,0.40910067196465283,0.4859168197447129,0.514326755878128,0.5371106417654787,0.5377135075930257,Vote for President- Major Candidates
therm_hispanics,34851,0.5108319652908068,0.12640814558058924,0.12918456761240377,0.16615016415574851,0.28043898073571666,0.36922582596204734,0.44499509404466914,0.5060388976051626,Thermometer - Chicanos/Hispanics
VCF9029,32223,0.47231179643527205,0.004766031195840554,0.07065379216470288,0.2011598294007548,0.2861381941500636,0.3195546987223104,0.40129051570737223,0.46714129244249725,Which Presidential Race in State Be Close
VCF0890,31913,0.46776794090056284,0.0027621317157712306,0.03807052618146242,0.06762603172655028,0.1448589326927606,0.3136954713842897,0.3961351050207048,0.4625529143601433,Federal Spending- Public Schools
VCF9031,30844,0.45209896810506567,0.10133232235701907,0.15955591475605088,0.13635666288239084,0.15279544062926853,0.29349058743479245,0.378357253330229,0.4467304105858323,Contacted By Anyone Other than Parties
VCF9028,29703,0.435374648217636,0.008557192374350087,0.07120677187460121,0.20140529594059708,0.2859968913381376,0.30392379224313903,0.3875372104239078,0.4298422189988455,Which Presidential Candidate Will Win in State
approve_president_economy,28333,0.4152937382739212,0.005849220103986135,0.0072738100302011995,0.014942775612899266,0.060548254910272714,0.24603084599682468,0.3365984267682227,0.40956454811876497,Approve of President Performance on Economy
Vote_Nonvote_Pres,25725,0.3770667213883677,0.0826473136915078,0.14649708622229785,0.22245405173207328,0.31649474824549007,0.34784909654494595,0.37952137832399263,0.3804357479056274,Vote and Nonvote- President
approve_pres_strength,25426,0.3726840994371482,0.006120017331022531,0.009996171678931473,0.016599674756834708,0.026470726767462673,0.19108641415286914,0.28825397881292514,0.366537402681981,Strength Approve/Disapprove President Performance
therm_RepParty,24916,0.3652087242026266,0.01559792027729636,0.08103279595048704,0.06688963210702341,0.06363336630398946,0.18144704014515764,0.27977249671550447,0.35898878067552764,Thermometer - Republican Party
therm_DemParty,24855,0.36431461069418386,0.01386481802426343,0.07928878301926921,0.06483384983584425,0.06238519146531016,0.18029409541090194,0.27875804493522477,0.35808590627867737,Thermometer - Democratic Party
Pre_election_inten_vote,24443,0.3582756801125704,0.1293327556325823,0.17082819345782466,0.22273020158939585,0.3064622485987471,0.32582974219399713,0.35723669987194623,0.3602912880021314,Respondent Pre-election Intent for Vote for President
therm_Whites,22199,0.32538402908067543,0.1275996533795494,0.1301629163299162,0.12475836887484275,0.21294333757241768,0.23894307099115444,0.2345878166004224,0.31877386696663806,Thermometer - Whites
Will_PresElectionClose,22127,0.324328681988743,0.00498266897746967,0.07103662427155558,0.14592985793624005,0.24362959822900476,0.27012928101610345,0.30845986263325076,0.31770817915396227,Will the Presidential Election Be Close
therm_liberals,19820,0.29051360225140715,0.11806759098786829,0.12578161555149092,0.1272744009082262,0.13480288257736328,0.19152113101988358,0.19502419716951322,0.2835617654894763,Thermometer - Liberals
therm_conservatives,19616,0.2875234521575985,0.11676776429809359,0.12271895869666936,0.12558681844681047,0.13306014789694315,0.1877409843501928,0.19163160433054496,0.280542316686895,Thermometer - Conservatives
therm_Blacks,18325,0.2686004924953096,0.1270580589254766,0.1296950104215407,0.12521861863704703,0.12013094060571805,0.16557042413245635,0.17016181337413314,0.26143394215683374,Thermometer - Blacks
ideology7,17716,0.25967401500938087,0.037045060658578856,0.029903441235271597,0.05102635696971557,0.04081296217794734,0.04536176003628941,0.1600339259283897,0.25241999940795123,Liberal-Conservative Scale
approve_pres,17277,0.2532393292682927,0.00557842287694974,0.007869326640860947,0.007057163020465773,0.0067354340351372995,0.037064338096318136,0.15273319918178643,0.24592226399455316,Approve of President Performance
VCF9030c,15105,0.2214030253283302,0.10452772963604853,0.10778850652941427,0.10328004663864257,0.10034854693608403,0.12582218190065775,0.1636926044802182,0.21377401497883425,Contacted By Republican Party
VCF9030b,15105,0.2214030253283302,0.10452772963604853,0.10778850652941427,0.10328004663864257,0.10034854693608403,0.12582218190065775,0.1636926044802182,0.21377401497883425,Contacted By Democratic Party
Registered_voted,14877,0.2180610928705441,0.08215987868284229,0.08796631077459696,0.08437912307078642,0.07771654655927653,0.13205942390564754,0.18907052934426502,0.210399336905361,Register and Turnout SUMMARY
VCF9030a,14425,0.2114358583489681,0.10219887348353553,0.10595941979667362,0.09757294958730937,0.08979793697894588,0.11300748469040599,0.15238396168365734,0.20370918563689647,Contacted By Any Major Party
VCF0130,14350,0.21033653846153846,0.007528162911611785,0.007146199327916968,0.007486729465189777,0.008525269652866091,0.009620473274363045,0.10405614408541351,0.20259909416535923,Respondent - Church Attendance 1970-
VCF9030,14338,0.21016064727954972,0.10127816291161179,0.1022587094304309,0.0949035009665245,0.0877490462060195,0.11136312088909049,0.15093712061997971,0.20242147952991327,Contacted By Which Major Party
home_ownership,13672,0.2003986866791745,0.23364384748700173,0.1843123909991918,0.13881132828081372,0.10821440346662899,0.08837982913737052,0.12251584041509371,0.19256386726266245,Respondent Family - Home Ownership
VCF0720,11634,0.1705265009380863,0.10084488734835355,0.10183334042281679,0.09413641802951735,0.08635956855541425,0.08977848340515612,0.10655069764347841,0.1623989816760901,Respondent Display Candidate Button/Sticker During the Campaign
VCF0721,10200,0.14950750469043153,0.1009532062391681,0.10196095112510102,0.09432051793439906,0.08708963308369837,0.090440009072352,0.11114067619031781,0.1411740327402978,Respondent Donate Money to Party or Candidate During the Campaign
VCF0719,9932,0.14557926829268292,0.10073656845753899,0.10174826662129398,0.09413641802951735,0.08664217417926617,0.08998639147198911,0.10661721907169347,0.13720730588200467,Respondent Work for Party or Candidate During the Campaign
VCF0718,9909,0.1452421435272045,0.10084488734835355,0.10179080352205538,0.09407505139455678,0.08635956855541425,0.08970288047176231,0.10620146014534933,0.13686687783073326,Respondent Attend Political Meetings/Rallies During the Campaign
VCF0717,7205,0.10560799718574108,0.10084488734835355,0.10208856182738525,0.09435120125187935,0.08673637605388347,0.08998639147198911,0.08503101561590527,0.0968443799769101,Respondent Try to Influence the Vote of Others During the Campaign
Voted,6246,0.09155136022514071,0.09705372616984402,0.09889829427027946,0.09183516921849591,0.0834393104422778,0.08558252060179936,0.0804244067120121,0.09241881531038157,Did Respondent Vote in the National Elections
Family_income,5749,0.08426653377110695,0.033145580589254764,0.10413033306393296,0.10131631431990427,0.10105506099571382,0.09697966281091706,0.09002012273203505,0.08498860306089222,Respondent Family - Income Group
Interest_elections,4845,0.07101606472795498,0.00027079722703639514,0.04908758347866774,0.036329047896658584,0.028331213791154445,0.05379148710969986,0.047995210457168515,0.06191350167253782,Interest in the Elections
Age,2688,0.039399624765478425,0.028650346620450608,0.024884086945425158,0.018778190297935014,0.015072299938768782,0.013287215543963105,0.0123064642197868,0.029987270951126372,Respondent - Age
region,1801,0.026398334896810507,0.0,0.0,0.0,0.0,0.0,0.0,0.016858589147745774,Census Region
South,1801,0.026398334896810507,0.0,0.0,0.0,0.0,0.0,0.0,0.016858589147745774,Political South/Nonsouth
Party_id3,1712,0.025093808630393996,0.00444107452339688,0.007784252839338126,0.00760946273511092,0.008007159342470916,0.008202918273229002,0.009978214232259567,0.015541280601521565,Party Identification of Respondent- Summary 3-Category
Party_id7,1712,0.025093808630393996,0.00444107452339688,0.007784252839338126,0.00760946273511092,0.008007159342470916,0.008202918273229002,0.009978214232259567,0.015541280601521565,Party Identification of Respondent- 7-point Scale
Race4,1697,0.024873944652908066,0.008611351819757366,0.009187970564464673,0.009450461783928079,0.008172012623051199,0.007201179405760943,0.0067352946067752075,0.024866048962434505,"Race-ethnicity summary, 4 categories"
Race3,1697,0.024873944652908066,0.008611351819757366,0.009187970564464673,0.009450461783928079,0.008172012623051199,0.007201179405760943,0.0067352946067752075,0.024866048962434505,"Race summary, 3 categories"
Race7,1642,0.02406777673545966,0.008611351819757366,0.009187970564464673,0.009450461783928079,0.008172012623051199,0.007201179405760943,0.006352796394538591,0.024051981883307184,"Race-ethnicity summary, 7 categories"
education6,1380,0.020227485928705442,0.01288994800693241,0.011272278701773789,0.011751710594949526,0.011681032452545806,0.010300899674907386,0.009612346377076716,0.010627275687516652,Respondent - Education 6-category
education7,1379,0.020212828330206378,0.01288994800693241,0.011272278701773789,0.011751710594949526,0.011681032452545806,0.010300899674907386,0.00959571602002295,0.010612474467896154,Respondent - Education 7-category
Education4,722,0.010582786116322702,0.01288994800693241,0.011272278701773789,0.011751710594949526,0.011681032452545806,0.010300899674907386,0.009612346377076716,0.010627275687516652,Respondent - Education 4-category
Gender,211,0.003092753283302064,0.005849220103986135,0.0045939852822323365,0.0033137982878708844,0.002543450614667232,0.0020412792016330232,0.001796078561806722,0.0030786536810633197,Respondent - Gender
Year,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Year of Study
