,N_predict_vote_D,N_predict_vote_R,N_voter_vote_D,N_voter_vote_R,N_total_vote_D,N_total_vote_R,ratio_total_vote_D,ratio_total_vote_R
all,10104,7686,16419,14526,26523,22212,0.544,0.456
NY,652,434,1086,835,1738,1269,0.578,0.422
OH,424,345,651,722,1075,1067,0.502,0.498
ID,20,26,67,85,87,111,0.439,0.561
MI,394,320,750,714,1144,1034,0.525,0.475
GA,483,287,410,364,893,651,0.578,0.422
NE,57,79,103,123,160,202,0.442,0.558
MA,213,115,545,306,758,421,0.643,0.357
KY,194,178,218,239,412,417,0.497,0.503
MO,211,155,284,329,495,484,0.506,0.494
NC,355,296,573,414,928,710,0.567,0.433
AR,311,191,241,213,552,404,0.577,0.423
MN,171,131,473,329,644,460,0.583,0.417
TN,256,271,308,383,564,654,0.463,0.537
KS,68,121,133,207,201,328,0.38,0.62
WI,153,122,361,319,514,441,0.538,0.462
IN,242,218,309,399,551,617,0.472,0.528
CT,121,65,271,258,392,323,0.548,0.452
NJ,232,185,427,439,659,624,0.514,0.486
AL,263,128,244,250,507,378,0.573,0.427
OR,114,88,278,203,392,291,0.574,0.426
SD,34,34,70,95,104,129,0.446,0.554
LA,214,93,222,203,436,296,0.596,0.404
DC,35,13,92,4,127,17,0.882,0.118
CA,893,601,1785,1274,2678,1875,0.588,0.412
CO,167,135,324,269,491,404,0.549,0.451
NM,61,27,98,69,159,96,0.624,0.376
IL,287,167,704,545,991,712,0.582,0.418
PA,387,368,730,666,1117,1034,0.519,0.481
TX,915,635,1032,877,1947,1512,0.563,0.437
SC,130,80,175,150,305,230,0.57,0.43
MS,129,72,124,116,253,188,0.574,0.426
IA,116,128,257,359,373,487,0.434,0.566
MD,174,141,345,232,519,373,0.582,0.418
WA,146,130,408,273,554,403,0.579,0.421
VA,331,334,427,349,758,683,0.526,0.474
FL,448,396,708,751,1156,1147,0.502,0.498
ME,35,34,84,62,119,96,0.553,0.447
UT,62,78,103,125,165,203,0.448,0.552
OK,78,72,123,130,201,202,0.499,0.501
AZ,93,87,223,242,316,329,0.49,0.51
WV,85,85,77,105,162,190,0.46,0.54
WY,57,67,52,57,109,124,0.468,0.532
DE,25,8,33,14,58,22,0.725,0.275
NH,42,48,86,76,128,124,0.508,0.492
HI,6,4,19,10,25,14,0.641,0.359
NV,23,15,75,58,98,73,0.573,0.427
ND,3,10,19,42,22,52,0.297,0.703
RI,15,2,27,23,42,25,0.627,0.373
VT,1,1,27,8,28,9,0.757,0.243
MT,3,3,23,23,26,26,0.5,0.5
AK,0,0,2,9,2,9,0.182,0.818
