,N_predict_vote_D,N_predict_vote_R,N_voter_vote_D,N_voter_vote_R,N_total_vote_D,N_total_vote_R,ratio_total_vote_D,ratio_total_vote_R
all,9920,7632,16207,14348,26127,21980,0.543,0.457
NY,654,432,1086,1267,1740,1699,0.506,0.494
OH,422,347,651,951,1073,1298,0.453,0.547
ID,20,26,67,132,87,158,0.355,0.645
MI,390,324,750,1074,1140,1398,0.449,0.551
GA,481,289,410,293,891,582,0.605,0.395
NE,58,78,103,168,161,246,0.396,0.604
MA,214,114,545,637,759,751,0.503,0.497
KY,202,170,218,255,420,425,0.497,0.503
MO,209,157,284,404,493,561,0.468,0.532
NC,356,295,573,631,929,926,0.501,0.499
AR,307,195,241,147,548,342,0.616,0.384
MN,171,131,473,631,644,762,0.458,0.542
TN,257,270,308,434,565,704,0.445,0.555
KS,68,121,133,272,201,393,0.338,0.662
WI,152,123,361,528,513,651,0.441,0.559
IN,239,221,309,469,548,690,0.443,0.557
CT,120,66,271,409,391,475,0.452,0.548
NJ,230,187,427,636,657,823,0.444,0.556
AL,264,127,244,230,508,357,0.587,0.413
OR,114,88,278,367,392,455,0.463,0.537
SD,34,34,70,131,104,165,0.387,0.613
LA,212,95,222,213,434,308,0.585,0.415
DC,35,13,92,61,127,74,0.632,0.368
CA,890,604,1785,2169,2675,2773,0.491,0.509
CO,166,136,324,427,490,563,0.465,0.535
NM,60,28,98,107,158,135,0.539,0.461
IL,284,170,704,965,988,1135,0.465,0.535
PA,387,368,730,1009,1117,1377,0.448,0.552
TX,904,646,1032,1005,1936,1651,0.54,0.46
SC,130,80,175,195,305,275,0.526,0.474
MS,128,73,124,112,252,185,0.577,0.423
IA,118,126,257,498,375,624,0.375,0.625
MD,178,137,345,399,523,536,0.494,0.506
WA,145,131,408,536,553,667,0.453,0.547
VA,331,334,427,445,758,779,0.493,0.507
FL,455,389,708,1004,1163,1393,0.455,0.545
ME,35,34,84,111,119,145,0.451,0.549
UT,63,77,103,165,166,242,0.407,0.593
OK,79,71,123,174,202,245,0.452,0.548
AZ,93,87,223,372,316,459,0.408,0.592
WV,89,81,77,93,166,174,0.488,0.512
WY,57,67,52,52,109,119,0.478,0.522
DE,26,7,33,21,59,28,0.678,0.322
NH,42,48,86,120,128,168,0.432,0.568
HI,6,4,19,23,25,27,0.481,0.519
NV,23,15,75,110,98,125,0.439,0.561
ND,3,10,19,58,22,68,0.244,0.756
RI,15,2,27,35,42,37,0.532,0.468
VT,1,1,27,34,28,35,0.444,0.556
MT,3,3,23,43,26,46,0.361,0.639
AK,0,0,2,11,2,11,0.154,0.846
