,N_predict_vote_D,N_predict_vote_R,N_voter_vote_D,N_voter_vote_R,N_total_vote_D,N_total_vote_R,ratio_total_vote_D,ratio_total_vote_R
NY,686,400,1086,835,1772,1235,0.589,0.411
OH,443,326,651,722,1094,1048,0.511,0.489
ID,16,30,67,85,83,115,0.419,0.581
MI,341,373,750,714,1091,1087,0.501,0.499
GA,516,254,410,364,926,618,0.6,0.4
NE,68,68,103,123,171,191,0.472,0.528
MA,195,133,545,306,740,439,0.628,0.372
KY,177,195,218,239,395,434,0.476,0.524
MO,156,210,284,329,440,539,0.449,0.551
NC,372,279,573,414,945,693,0.577,0.423
AR,310,192,241,213,551,405,0.576,0.424
MN,186,116,473,329,659,445,0.597,0.403
TN,232,295,308,383,540,678,0.443,0.557
KS,67,122,133,207,200,329,0.378,0.622
WI,145,130,361,319,506,449,0.53,0.47
IN,267,193,309,399,576,592,0.493,0.507
CT,127,59,271,258,398,317,0.557,0.443
NJ,206,211,427,439,633,650,0.493,0.507
AL,277,114,244,250,521,364,0.589,0.411
OR,116,86,278,203,394,289,0.577,0.423
SD,20,48,70,95,90,143,0.386,0.614
LA,168,139,222,203,390,342,0.533,0.467
DC,48,0,92,4,140,4,0.972,0.028
CA,894,600,1785,1274,2679,1874,0.588,0.412
CO,156,146,324,269,480,415,0.536,0.464
NM,52,36,98,69,150,105,0.588,0.412
IL,264,190,704,545,968,735,0.568,0.432
PA,307,448,730,666,1037,1114,0.482,0.518
TX,846,704,1032,877,1878,1581,0.543,0.457
SC,87,123,175,150,262,273,0.49,0.51
MS,129,72,124,116,253,188,0.574,0.426
IA,118,126,257,359,375,485,0.436,0.564
MD,173,142,345,232,518,374,0.581,0.419
WA,138,138,408,273,546,411,0.571,0.429
VA,305,360,427,349,732,709,0.508,0.492
FL,390,454,708,751,1098,1205,0.477,0.523
ME,41,28,84,62,125,90,0.581,0.419
UT,79,61,103,125,182,186,0.495,0.505
OK,60,90,123,130,183,220,0.454,0.546
AZ,102,78,223,242,325,320,0.504,0.496
WV,80,90,77,105,157,195,0.446,0.554
WY,58,66,52,57,110,123,0.472,0.528
DE,28,5,33,14,61,19,0.762,0.238
NH,47,43,86,76,133,119,0.528,0.472
HI,5,5,19,10,24,15,0.615,0.385
NV,26,12,75,58,101,70,0.591,0.409
ND,1,12,19,42,20,54,0.27,0.73
RI,14,3,27,23,41,26,0.612,0.388
VT,2,0,27,8,29,8,0.784,0.216
MT,2,4,23,23,25,27,0.481,0.519
AK,0,0,2,9,2,9,0.182,0.818
all,9567,7985,16207,14348,25774,22333,0.536,0.464
